"","AID","ID2","SEX","Cohort","AGEnum","birth.year","Date_telem","Time_telem","UTMX","UTMY","UTM_ZONE","Location_Status","FixStatus","PDOP","HDOP","VDOP","TDOP","TransInf","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","Census_HomeDensity_AOI","Dist2ForestEdge_m","Dist2Road_Hwy_m","Dist2Stream_Rivers_m","Elevation_meters","Forest","NDVI","NLCD2011","shade","Metabolic_Rate_(kj/d)","Max_temp","Min_temp","Cloud","presence","lat","long","Month"
"5678","GB295",295,FALSE,1,15,1993,"09/01/2008","02:46",517760.8528,4939434.253,"12T","Out_of_Den","Succeeded (2D)",8.39,8.33,1,1.3,"N",5,158,37,8829,234,-182,416,-94,75,119,-107,605,64,39,16,177,126,149,171,0,-1179.33862304688,4518.4619140625,1788,2336.45263671875,1,2311,42,66,14049.1787109375,16.4799995422363,0.360000014305115,45.26,1,-110.776172999551,44.6080379994781,"Sep"
"5682","GB295",295,FALSE,1,15,1993,"09/01/2008","09:47",515146.7455,4940535.525,"12T","Out_of_Den","Succeeded (2D)",0,0,0,0,"N",5,158,37,8829,234,-182,416,-94,75,119,-107,605,64,39,16,177,126,149,171,0,-904.344665527344,2715.2900390625,849,2255.9169921875,1,4733,42,49,14059.548828125,17.1399993896484,0.200000002980232,44.75,1,-110.809084000103,44.618011999209,"Sep"
"5683","GB295",295,FALSE,1,15,1993,"09/01/2008","11:31",513114.165,4940629.171,"12T","Out_of_Den","Succeeded (3D)",6.42,4.97,4.07,3.34,"N",3,157,37,8846,232,-182,414,-96,73,117,-109,628,68,40,17,188,128,151,182,0,-552.49462890625,961.873168945312,1299,2193.7294921875,1,3036,42,48,14098.3076171875,17.4799995422363,-0.389999985694885,42.43,1,-110.834700999843,44.6188949987357,"Sep"
"5684","GB295",295,FALSE,1,15,1993,"09/01/2008","13:16",513542.6164,4939626.443,"12T","Out_of_Den","Succeeded (2D)",7.3,7.23,1,1.41,"N",5,158,37,8829,234,-182,416,-94,75,119,-107,605,64,39,16,177,126,149,171,0,-487.880310058594,973.498840332031,1026,2245.33642578125,1,2902,42,44,14089.64453125,17.2700004577637,-0.159999996423721,44.56,1,-110.829327000565,44.6098599986281,"Sep"
"5685","GB295",295,FALSE,1,15,1993,"09/01/2008","15:02",516385.04,4939441.844,"12T","Out_of_Den","Succeeded (2D)",31.93,31.91,1.02,1.17,"N",5,158,37,8829,234,-182,416,-94,75,119,-107,605,64,39,16,177,126,149,171,0,-577.453674316406,3198.76538085938,1725,2311.275390625,1,3474,42,50,14035.8466796875,16.7900009155273,0.319999992847443,43.54,1,-110.79351100009,44.6081390000702,"Sep"
"5686","GB295",295,FALSE,1,15,1993,"09/01/2008","16:47",517647.9836,4939125.585,"12T","Out_of_Den","Succeeded (2D)",0,0,0,0,"N",5,158,37,8829,234,-182,416,-94,75,119,-107,605,64,39,16,177,126,149,171,0,-1338.21044921875,4331.02783203125,1465,2351.94775390625,1,2860,42,63,14049.1787109375,16.4799995422363,0.360000014305115,45.26,1,-110.777605999425,44.6052620001164,"Sep"
"5690","GB295",295,FALSE,1,15,1993,"09/01/2008","23:46",520656.228,4941648.024,"12T","Out_of_Den","Succeeded (3D)",2.9,1.81,2.26,1.42,"N",0,157,38,8717,226,-186,412,-97,70,112,-111,613,65,39,16,178,129,152,172,0,-406.806579589844,3390,1950,2371.56640625,1,1588,42,62,14017.890625,16.2399997711182,0.0599999986588955,47.12,1,-110.739596000454,44.6278900013129,"Sep"
"5691","GB295",295,FALSE,1,15,1993,"09/02/2008","01:30",520586.6723,4941694.123,"12T","Out_of_Den","Succeeded (3D)",6.52,3.27,5.64,4.57,"N",0,157,38,8717,226,-186,412,-97,70,112,-111,613,65,39,16,178,129,152,172,0,-454.664825439453,3352.76000976562,1892,2372.20776367188,1,2286,42,56,14017.890625,16.2399997711182,0.0599999986588955,47.12,1,-110.740471000393,44.6283069999042,"Sep"
"5692","GB295",295,FALSE,1,15,1993,"09/02/2008","03:16",520741.2277,4941609.862,"12T","Out_of_Den","Succeeded (3D)",3.82,2.03,3.24,2.44,"N",0,157,38,8717,226,-186,412,-97,70,112,-111,613,65,39,16,178,129,152,172,0,-331.247833251953,3462.369140625,2010,2361.4658203125,1,1836,42,56,14017.890625,16.2399997711182,0.0599999986588955,47.12,1,-110.738525999974,44.6275440026843,"Sep"
"5693","GB295",295,FALSE,1,15,1993,"09/02/2008","05:01",520640.9721,4941631.202,"12T","Out_of_Den","Succeeded (3D)",4.62,2.66,3.78,3.11,"N",0,157,38,8717,226,-186,412,-97,70,112,-111,613,65,39,16,178,129,152,172,0,-378.044128417969,3419.73681640625,1956,2369.17895507812,1,1683,42,62,14017.890625,16.2399997711182,0.0599999986588955,47.12,1,-110.739788999494,44.6277390008887,"Sep"
